Adhoc_Param_Syn_Lower,Ad-hoc_Param,Entity
visual disturbance,Visual Symptoms,ProblemsDim
vision impairment,Visual Symptoms,ProblemsDim
blurred vision,Visual Symptoms,ProblemsDim
double vision,Visual Symptoms,ProblemsDim
loss of vision,Visual Symptoms,ProblemsDim
flashing lights,Visual Symptoms,ProblemsDim
floating spots,Visual Symptoms,ProblemsDim
halos around lights,Visual Symptoms,ProblemsDim
photophobia,Visual Symptoms,ProblemsDim
scotoma,Visual Symptoms,ProblemsDim
nystagmus,Visual Symptoms,ProblemsDim
diplopia,Visual Symptoms,ProblemsDim
visual symptoms,Visual Symptoms,ProblemsDim
vmt,Vitreomacular Traction,ProblemsDim
vitreo-macular traction,Vitreomacular Traction,ProblemsDim
vitreomacular traction,Vitreomacular Traction,ProblemsDim
vd,Vitreous Detachment,ProblemsDim
vitreous separation,Vitreous Detachment,ProblemsDim
posterior vitreous detachment,Vitreous Detachment,ProblemsDim
pvd,Vitreous Detachment,ProblemsDim
anterior vitreous detachment,Vitreous Detachment,ProblemsDim
avd,Vitreous Detachment,ProblemsDim
vitreous detachment,Vitreous Detachment,ProblemsDim
vh,Vitreous Hemorrhage,ProblemsDim
vitreous bleeding,Vitreous Hemorrhage,ProblemsDim
posterior vitreous detachment hemorrhage,Vitreous Hemorrhage,ProblemsDim
pvd hemorrhage,Vitreous Hemorrhage,ProblemsDim
retinal hemorrhage,Vitreous Hemorrhage,ProblemsDim
intraocular hemorrhage,Vitreous Hemorrhage,ProblemsDim
vitreous hemorrhage,Vitreous Hemorrhage,ProblemsDim
vo,Vitreous Opacities,ProblemsDim
vitreous hemorrhage,Vitreous Opacities,ProblemsDim
vitreous floaters,Vitreous Opacities,ProblemsDim
posterior vitreous detachment,Vitreous Opacities,ProblemsDim
diabetic retinopathy,Vitreous Opacities,ProblemsDim
retinal detachment,Vitreous Opacities,ProblemsDim
cataract,Vitreous Opacities,ProblemsDim
macular hole,Vitreous Opacities,ProblemsDim
vitreous syneresis,Vitreous Opacities,ProblemsDim
vitreous opacities,Vitreous Opacities,ProblemsDim
aoc,Absence Of Cervix,ProblemsDim
cervical agenesis,Absence Of Cervix,ProblemsDim
cervical agensis,Absence Of Cervix,ProblemsDim
cervical atresia,Absence Of Cervix,ProblemsDim
cervical hypoplasia,Absence Of Cervix,ProblemsDim
cervical aplasia,Absence Of Cervix,ProblemsDim
mullerian agenesis,Absence Of Cervix,ProblemsDim
absence of cervix,Absence Of Cervix,ProblemsDim
primary amenorrhea,Amenorrhea,ProblemsDim
secondary amenorrhea,Amenorrhea,ProblemsDim
hypothalamic amenorrhea,Amenorrhea,ProblemsDim
hyperprolactinemia-induced amenorrhea,Amenorrhea,ProblemsDim
sheehan's syndrome,Amenorrhea,ProblemsDim
polycystic ovary syndrome (pcos)-related amenorrhea,Amenorrhea,ProblemsDim
drug-induced amenorrhea,Amenorrhea,ProblemsDim
iatrogenic amenorrhea,Amenorrhea,ProblemsDim
amenorrhea due to stress,Amenorrhea,ProblemsDim
functional hypothalamic amenorrhea,Amenorrhea,ProblemsDim
amenorrhea,Amenorrhea,ProblemsDim
ge,Gynecological Examination,ProblemsDim
gyn exam,Gynecological Examination,ProblemsDim
pelvic exam,Gynecological Examination,ProblemsDim
vaginal exam,Gynecological Examination,ProblemsDim
cervical exam,Gynecological Examination,ProblemsDim
bimanual exam,Gynecological Examination,ProblemsDim
speculum exam,Gynecological Examination,ProblemsDim
pap smear,Gynecological Examination,ProblemsDim
transvaginal ultrasound,Gynecological Examination,ProblemsDim
gynecological examination,Gynecological Examination,ProblemsDim
hysterectomy procedure,Hysterectomy,ProblemsDim
uterus removal surgery,Hysterectomy,ProblemsDim
gynecological surgery,Hysterectomy,ProblemsDim
oophorectomy (if ovaries are removed),Hysterectomy,ProblemsDim
salpingectomy (if fallopian tubes are removed),Hysterectomy,ProblemsDim
hysterectomy,Hysterectomy,ProblemsDim
infertile,Infertility,ProblemsDim
subfertile,Infertility,ProblemsDim
sterile,Infertility,ProblemsDim
fertility disorder,Infertility,ProblemsDim
infertility disorder,Infertility,ProblemsDim
infertility problem,Infertility,ProblemsDim
infertility issue,Infertility,ProblemsDim
infertility condition,Infertility,ProblemsDim
infertility,Infertility,ProblemsDim
idfro,Inflammatory Diseases Of Female Reproductive Organs,ProblemsDim
pelvic inflammatory disease (pid),Inflammatory Diseases Of Female Reproductive Organs,ProblemsDim
endometritis,Inflammatory Diseases Of Female Reproductive Organs,ProblemsDim
salpingitis,Inflammatory Diseases Of Female Reproductive Organs,ProblemsDim
ovarian torsion,Inflammatory Diseases Of Female Reproductive Organs,ProblemsDim
tubo-ovarian abscess,Inflammatory Diseases Of Female Reproductive Organs,ProblemsDim
pelvic inflammatory disorder,Inflammatory Diseases Of Female Reproductive Organs,ProblemsDim
vaginitis,Inflammatory Diseases Of Female Reproductive Organs,ProblemsDim
inflammatory diseases of female reproductive organs,Inflammatory Diseases Of Female Reproductive Organs,ProblemsDim
iud monitor,Intrauterine Device (Iud) Monitoring,ProblemsDim
intrauterine device surveillance,Intrauterine Device (Iud) Monitoring,ProblemsDim
iud checkup,Intrauterine Device (Iud) Monitoring,ProblemsDim
device insertion follow-up,Intrauterine Device (Iud) Monitoring,ProblemsDim
iud performance evaluation,Intrauterine Device (Iud) Monitoring,ProblemsDim
iud safety assessment,Intrauterine Device (Iud) Monitoring,ProblemsDim
intrauterine device (iud) monitoring,Intrauterine Device (Iud) Monitoring,ProblemsDim
dysmenorrhea,Irregular Menstruation,ProblemsDim
polymenorrhea,Irregular Menstruation,ProblemsDim
oligomenorrhea,Irregular Menstruation,ProblemsDim
metrorrhagia,Irregular Menstruation,ProblemsDim
menorrhagia,Irregular Menstruation,ProblemsDim
amenorrhea,Irregular Menstruation,ProblemsDim
secondary amenorrhea,Irregular Menstruation,ProblemsDim
irregular menstruation,Irregular Menstruation,ProblemsDim
mp,Menopause,ProblemsDim
postmenopause,Menopause,ProblemsDim
premenopause,Menopause,ProblemsDim
climacteric,Menopause,ProblemsDim
perimenopause,Menopause,ProblemsDim
surgical menopause,Menopause,ProblemsDim
natural menopause,Menopause,ProblemsDim
menopausal symptoms,Menopause,ProblemsDim
menopause,Menopause,ProblemsDim
abnormal uterine bleeding,Menorrhagia,ProblemsDim
heavy menstrual bleeding,Menorrhagia,ProblemsDim
dysfunctional uterine bleeding,Menorrhagia,ProblemsDim
menstrual disorder,Menorrhagia,ProblemsDim
excessive menstrual flow,Menorrhagia,ProblemsDim
prolonged menstruation,Menorrhagia,ProblemsDim
menorrhagia,Menorrhagia,ProblemsDim
ovarian cysts,Other Female Reproductive Conditions,ProblemsDim
endometriosis,Other Female Reproductive Conditions,ProblemsDim
pelvic inflammatory disease,Other Female Reproductive Conditions,ProblemsDim
uterine fibroids,Other Female Reproductive Conditions,ProblemsDim
polycystic ovary syndrome,Other Female Reproductive Conditions,ProblemsDim
amenorrhea,Other Female Reproductive Conditions,ProblemsDim
dysmenorrhea,Other Female Reproductive Conditions,ProblemsDim
menopause,Other Female Reproductive Conditions,ProblemsDim
ovarian cancer,Other Female Reproductive Conditions,ProblemsDim
uterine prolapse,Other Female Reproductive Conditions,ProblemsDim
vaginal discharge,Other Female Reproductive Conditions,ProblemsDim
vulvodynia,Other Female Reproductive Conditions,ProblemsDim
premenstrual syndrome,Other Female Reproductive Conditions,ProblemsDim
postmenopausal bleeding,Other Female Reproductive Conditions,ProblemsDim
other female reproductive conditions,Other Female Reproductive Conditions,ProblemsDim
of,Ovarian Failure,ProblemsDim
premature ovarian failure,Ovarian Failure,ProblemsDim
primary ovarian insufficiency,Ovarian Failure,ProblemsDim
secondary ovarian failure,Ovarian Failure,ProblemsDim
pof,Ovarian Failure,ProblemsDim
poi,Ovarian Failure,ProblemsDim
ovarian failure,Ovarian Failure,ProblemsDim
pcos,Polycystic Ovaries,ProblemsDim
polycystic ovary syndrome,Polycystic Ovaries,ProblemsDim
poi,Polycystic Ovaries,ProblemsDim
polycystic ovarian infertility,Polycystic Ovaries,ProblemsDim
pcod,Polycystic Ovaries,ProblemsDim
polycystic ovarian disease,Polycystic Ovaries,ProblemsDim
polycystic ovaries,Polycystic Ovaries,ProblemsDim
vb,Vaginal Bleeding,ProblemsDim
vaginal hemorrhage,Vaginal Bleeding,ProblemsDim
menstrual bleeding,Vaginal Bleeding,ProblemsDim
postmenopausal bleeding,Vaginal Bleeding,ProblemsDim
abnormal vaginal bleeding,Vaginal Bleeding,ProblemsDim
dysfunctional uterine bleeding,Vaginal Bleeding,ProblemsDim
vaginal spotting,Vaginal Bleeding,ProblemsDim
vaginal bleeding,Vaginal Bleeding,ProblemsDim
vh,Vaginal Hemorrhage,ProblemsDim
vaginal bleeding,Vaginal Hemorrhage,ProblemsDim
postpartum hemorrhage,Vaginal Hemorrhage,ProblemsDim
pph,Vaginal Hemorrhage,ProblemsDim
menstrual hemorrhage,Vaginal Hemorrhage,ProblemsDim
endometrial cancer bleeding,Vaginal Hemorrhage,ProblemsDim
cervical cancer bleeding,Vaginal Hemorrhage,ProblemsDim
vaginal hemorrhage,Vaginal Hemorrhage,ProblemsDim
vs,Vaginal Stenosis,ProblemsDim
vaginal narrowing,Vaginal Stenosis,ProblemsDim
vaginal stricture,Vaginal Stenosis,ProblemsDim
vaginal atrophy,Vaginal Stenosis,ProblemsDim
vaginal shortening,Vaginal Stenosis,ProblemsDim
vaginal canal narrowing,Vaginal Stenosis,ProblemsDim
vaginal tightening,Vaginal Stenosis,ProblemsDim
vaginal stenosis,Vaginal Stenosis,ProblemsDim
ah,Acute Hepatitis C,ProblemsDim
acute hepatitis c virus (ahcv),Acute Hepatitis C,ProblemsDim
acute hepatitis c infection (ahci),Acute Hepatitis C,ProblemsDim
hepatitis c acute (hca),Acute Hepatitis C,ProblemsDim
acute hepatitis c,Acute Hepatitis C,ProblemsDim
alf,Acute Liver Failure,ProblemsDim
acute hepatic failure,Acute Liver Failure,ProblemsDim
hepatic acute failure,Acute Liver Failure,ProblemsDim
liver acute failure,Acute Liver Failure,ProblemsDim
acute liver dysfunction,Acute Liver Failure,ProblemsDim
acute hepatocellular injury,Acute Liver Failure,ProblemsDim
acute liver failure,Acute Liver Failure,ProblemsDim
ap,Acute Pancreatitis,ProblemsDim
acute pancreatic inflammation,Acute Pancreatitis,ProblemsDim
acute pancreatic disease,Acute Pancreatitis,ProblemsDim
acute necrotizing pancreatitis,Acute Pancreatitis,ProblemsDim
acute hemorrhagic pancreatitis,Acute Pancreatitis,ProblemsDim
acute pancreatitis,Acute Pancreatitis,ProblemsDim
apam,Acute Pancreatitis And Intestinal Malabsorption,ProblemsDim
acute pancreatitis with intestinal malabsorption,Acute Pancreatitis And Intestinal Malabsorption,ProblemsDim
pancreatic malabsorption syndrome,Acute Pancreatitis And Intestinal Malabsorption,ProblemsDim
intestinal malfunction in acute pancreatitis,Acute Pancreatitis And Intestinal Malabsorption,ProblemsDim
acute pancreatitis and intestinal malabsorption,Acute Pancreatitis And Intestinal Malabsorption,ProblemsDim
aih,Autoimmune Hepatitis,ProblemsDim
autoimmune liver disease,Autoimmune Hepatitis,ProblemsDim
liver autoimmunity,Autoimmune Hepatitis,ProblemsDim
chronic autoimmune hepatitis,Autoimmune Hepatitis,ProblemsDim
caih,Autoimmune Hepatitis,ProblemsDim
autoimmune chronic hepatitis,Autoimmune Hepatitis,ProblemsDim
autoimmune hepatitis,Autoimmune Hepatitis,ProblemsDim
bd,Biliary Disease,ProblemsDim
gallbladder disease,Biliary Disease,ProblemsDim
cholelithiasis,Biliary Disease,ProblemsDim
choledocholithiasis,Biliary Disease,ProblemsDim
cholecystitis,Biliary Disease,ProblemsDim
gallstone disease,Biliary Disease,ProblemsDim
bile duct disease,Biliary Disease,ProblemsDim
biliary disease,Biliary Disease,ProblemsDim
gallstone disease,Cholelithiasis,ProblemsDim
biliary calculus,Cholelithiasis,ProblemsDim
cholecystolithiasis,Cholelithiasis,ProblemsDim
cholelithiasis gallbladder,Cholelithiasis,ProblemsDim
cholelithiasis bile duct,Cholelithiasis,ProblemsDim
cholelithiasis,Cholelithiasis,ProblemsDim
ch,Chronic Hepatitis,ProblemsDim
chronic liver inflammation,Chronic Hepatitis,ProblemsDim
cli,Chronic Hepatitis,ProblemsDim
chronic liver disease,Chronic Hepatitis,ProblemsDim
hepatitis c,Chronic Hepatitis,ProblemsDim
hcv,Chronic Hepatitis,ProblemsDim
hepatitis b,Chronic Hepatitis,ProblemsDim
hbv,Chronic Hepatitis,ProblemsDim
liver cirrhosis,Chronic Hepatitis,ProblemsDim
chronic hepatitis,Chronic Hepatitis,ProblemsDim
chb,Chronic Hepatitis B,ProblemsDim
hepatitis b virus chronic infection,Chronic Hepatitis B,ProblemsDim
chronic hepatitis b virus,Chronic Hepatitis B,ProblemsDim
hbv chronic,Chronic Hepatitis B,ProblemsDim
chronic hepatitis b disease,Chronic Hepatitis B,ProblemsDim
chronic hepatitis b,Chronic Hepatitis B,ProblemsDim
chc,Chronic Hepatitis C,ProblemsDim
hepatitis c chronic,Chronic Hepatitis C,ProblemsDim
hcv chronic,Chronic Hepatitis C,ProblemsDim
chronic hcv,Chronic Hepatitis C,ProblemsDim
chronic hepatitis c virus,Chronic Hepatitis C,ProblemsDim
chronic hepatitis c,Chronic Hepatitis C,ProblemsDim
cld,Chronic Liver Disease,ProblemsDim
chronic hepatitis,Chronic Liver Disease,ProblemsDim
cirrhosis of the liver,Chronic Liver Disease,ProblemsDim
liver cirrhosis,Chronic Liver Disease,ProblemsDim
hepatic cirrhosis,Chronic Liver Disease,ProblemsDim
chronic hepatocellular disease,Chronic Liver Disease,ProblemsDim
chronic liver failure,Chronic Liver Disease,ProblemsDim
liver failure,Chronic Liver Disease,ProblemsDim
chronic liver disorder,Chronic Liver Disease,ProblemsDim
chronic liver disease,Chronic Liver Disease,ProblemsDim
clf,Chronic Liver Failure,ProblemsDim
chronic hepatic failure,Chronic Liver Failure,ProblemsDim
liver cirrhosis,Chronic Liver Failure,ProblemsDim
end-stage liver disease,Chronic Liver Failure,ProblemsDim
esld,Chronic Liver Failure,ProblemsDim
hepatic insufficiency,Chronic Liver Failure,ProblemsDim
liver dysfunction,Chronic Liver Failure,ProblemsDim
liver impairment,Chronic Liver Failure,ProblemsDim
chronic liver failure,Chronic Liver Failure,ProblemsDim
cp,Chronic Pancreatitis,ProblemsDim
chronic pancreatic inflammation,Chronic Pancreatitis,ProblemsDim
pancreatitis (chronic),Chronic Pancreatitis,ProblemsDim
chronic pancreatic disease,Chronic Pancreatitis,ProblemsDim
chronic pancreatitis,Chronic Pancreatitis,ProblemsDim
ch,Chronic_Hepatitis,ProblemsDim
chronic liver inflammation,Chronic_Hepatitis,ProblemsDim
cli,Chronic_Hepatitis,ProblemsDim
chronic hepatic inflammation,Chronic_Hepatitis,ProblemsDim
ch-c,Chronic_Hepatitis,ProblemsDim
chronic hepatitis c,Chronic_Hepatitis,ProblemsDim
ch-b,Chronic_Hepatitis,ProblemsDim
chronic hepatitis b,Chronic_Hepatitis,ProblemsDim
chronic_hepatitis,Chronic_Hepatitis,ProblemsDim
liver cirrhosis,Cirrhosis,ProblemsDim
chronic liver disease,Cirrhosis,ProblemsDim
hepatic cirrhosis,Cirrhosis,ProblemsDim
liver scarring,Cirrhosis,ProblemsDim
liver fibrosis,Cirrhosis,ProblemsDim
cirrhosis,Cirrhosis,ProblemsDim
copd,Cirrhosis of Liver,ProblemsDim
chronic liver disease,Cirrhosis of Liver,ProblemsDim
cld,Cirrhosis of Liver,ProblemsDim
liver cirrhosis,Cirrhosis of Liver,ProblemsDim
cirrhotic liver,Cirrhosis of Liver,ProblemsDim
cirrhosis of liver,Cirrhosis of Liver,ProblemsDim
dc,Decompensated Cirrhosis,ProblemsDim
compensated cirrhosis reversal,Decompensated Cirrhosis,ProblemsDim
deteriorated cirrhosis,Decompensated Cirrhosis,ProblemsDim
cirrhotic decompensation,Decompensated Cirrhosis,ProblemsDim
decompensated liver disease,Decompensated Cirrhosis,ProblemsDim
decompensated hepatic cirrhosis,Decompensated Cirrhosis,ProblemsDim
decompensated cirrhosis,Decompensated Cirrhosis,ProblemsDim
gastrointestinal system,Digestive System,ProblemsDim
gi system,Digestive System,ProblemsDim
alimentary canal,Digestive System,ProblemsDim
digestive tract,Digestive System,ProblemsDim
digestive apparatus,Digestive System,ProblemsDim
digestive system,Digestive System,ProblemsDim
esld,End Stage Liver Disease,ProblemsDim
cirrhosis,End Stage Liver Disease,ProblemsDim
liver failure,End Stage Liver Disease,ProblemsDim
advanced liver disease,End Stage Liver Disease,ProblemsDim
decompensated cirrhosis,End Stage Liver Disease,ProblemsDim
hepatic decompensation,End Stage Liver Disease,ProblemsDim
chronic liver failure,End Stage Liver Disease,ProblemsDim
late-stage liver disease,End Stage Liver Disease,ProblemsDim
end stage liver disease,End Stage Liver Disease,ProblemsDim
hepatitis b vaccination,Hep B Vaccine Administration,ProblemsDim
hbv immunization,Hep B Vaccine Administration,ProblemsDim
hep b shot,Hep B Vaccine Administration,ProblemsDim
hepatitis b injection,Hep B Vaccine Administration,ProblemsDim
hbv dose,Hep B Vaccine Administration,ProblemsDim
hepatitis b vaccine dose,Hep B Vaccine Administration,ProblemsDim
hep b vaccine administration,Hep B Vaccine Administration,ProblemsDim
liver,Hepatic,ProblemsDim
hepatocellular,Hepatic,ProblemsDim
hepatitis,Hepatic,ProblemsDim
hepatocyte,Hepatic,ProblemsDim
hepatomegaly,Hepatic,ProblemsDim
hepatotoxicity,Hepatic,ProblemsDim
hepatobiliary,Hepatic,ProblemsDim
cholestasis,Hepatic,ProblemsDim
gallbladder,Hepatic,ProblemsDim
bile duct,Hepatic,ProblemsDim
liver function test,Hepatic,ProblemsDim
hepatic,Hepatic,ProblemsDim
liver coma,Hepatic Coma / Hepatic encephalopathy (HE),ProblemsDim
hepatic encephalopathy,Hepatic Coma / Hepatic encephalopathy (HE),ProblemsDim
he coma,Hepatic Coma / Hepatic encephalopathy (HE),ProblemsDim
liver encephalopathy,Hepatic Coma / Hepatic encephalopathy (HE),ProblemsDim
hepatic he,Hepatic Coma / Hepatic encephalopathy (HE),ProblemsDim
hepatic coma / hepatic encephalopathy (he),Hepatic Coma / Hepatic encephalopathy (HE),ProblemsDim
he,Hepatic Encephalopathy,ProblemsDim
liver-brain syndrome,Hepatic Encephalopathy,ProblemsDim
portosystemic encephalopathy,Hepatic Encephalopathy,ProblemsDim
pse,Hepatic Encephalopathy,ProblemsDim
minimal hepatic encephalopathy,Hepatic Encephalopathy,ProblemsDim
overt hepatic encephalopathy,Hepatic Encephalopathy,ProblemsDim
hepatic encephalopathy,Hepatic Encephalopathy,ProblemsDim
liver,Hepatic System,ProblemsDim
bile ducts,Hepatic System,ProblemsDim
gallbladder,Hepatic System,ProblemsDim
hepatocytes,Hepatic System,ProblemsDim
hepatic artery,Hepatic System,ProblemsDim
portal vein,Hepatic System,ProblemsDim
hepatic portal vein,Hepatic System,ProblemsDim
hepatic vein,Hepatic System,ProblemsDim
liver function tests,Hepatic System,ProblemsDim
hepatitis,Hepatic System,ProblemsDim
cirrhosis,Hepatic System,ProblemsDim
hepatocellular carcinoma,Hepatic System,ProblemsDim
cholangiocarcinoma,Hepatic System,ProblemsDim
hepatic system,Hepatic System,ProblemsDim
hepatitis a,Hepatitis,ProblemsDim
hepatitis b,Hepatitis,ProblemsDim
hepatitis c,Hepatitis,ProblemsDim
hepatitis d,Hepatitis,ProblemsDim
hepatitis e,Hepatitis,ProblemsDim
hepatitis f,Hepatitis,ProblemsDim
hepatitis g,Hepatitis,ProblemsDim
acute hepatitis,Hepatitis,ProblemsDim
chronic hepatitis,Hepatitis,ProblemsDim
hepatitis,Hepatitis,ProblemsDim
hav,Hepatitis A,ProblemsDim
hepatitis a virus,Hepatitis A,ProblemsDim
hav-hepatitis a virus,Hepatitis A,ProblemsDim
hav infection,Hepatitis A,ProblemsDim
hep a,Hepatitis A,ProblemsDim
hepatitis a disease,Hepatitis A,ProblemsDim
hav vaccine,Hepatitis A,ProblemsDim
hepatitis a,Hepatitis A,ProblemsDim
hav,Hepatitis A Infection,ProblemsDim
hepatitis a virus infection,Hepatitis A Infection,ProblemsDim
hepatitis a disease,Hepatitis A Infection,ProblemsDim
hav infection,Hepatitis A Infection,ProblemsDim
hepatitis a,Hepatitis A Infection,ProblemsDim
hav disease,Hepatitis A Infection,ProblemsDim
hepatitis a infection,Hepatitis A Infection,ProblemsDim
hbv,Hepatitis B,ProblemsDim
hepatitis b virus,Hepatitis B,ProblemsDim
hepatitis b surface antigen (hbsag),Hepatitis B,ProblemsDim
hepatitis b core antigen (hbcag),Hepatitis B,ProblemsDim
